"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num4rd","c_type","flgrm4","mrkgrm4","ngrm4","flmth4","mrkmth4","nmth4","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"58",58,11111,99,50,49,22,1,1,1,2,3,3,16,67,97,42.2700004577637,66,97,30007,11,5,4,1,34,0,3,99,35,61.689998626709,40,35,69.5400009155273,22.8999996185303,1,0,0,1,0,3,64.0677795410156,42.8444442749023,63,66.7266693115234,17.4777774810791,63,0,NA,NA,5,30007,5
"59",59,11111,99,50,49,22,1,1,1,2,3,3,16,67,97,42.2700004577637,66,97,30007,11,5,4,2,29,0,3,99,28,67.0400009155273,46.4000015258789,28,63.2099990844727,10.6999998092651,1,0,0,1,0,3,64.0677795410156,42.8444442749023,63,66.7266693115234,17.4777774810791,63,0,NA,NA,5,30007,5
"60",60,11111,99,50,49,22,1,1,1,2,3,3,16,67,97,42.2700004577637,66,97,30007,11,5,4,3,36,0,3,99,34,69.5802917480469,41.2055892944336,34,67.5064697265625,13.2617645263672,NA,1,0,1,0,3,64.0677795410156,42.8444442749023,63,66.7266693115234,17.4777774810791,63,1,34,34,5,30007,5
"61",61,11115,60,30,30,17,2,1,1,2,3,2,27,69,45,56.25,59,48,30007,12,11,4,1,18,0,2,48,20,56.0999984741211,55,18,61.560001373291,27.7999992370605,1,0,0,0,0,2,58.6666679382324,56.2249984741211,48,68.7779998779297,26.6599998474121,45,0,NA,NA,11,30007,11
"62",62,11115,60,30,30,17,2,1,1,2,3,2,27,69,45,56.25,59,48,30007,12,11,4,2,30,0,2,48,28,60.5,57.0999984741211,27,73.5899963378906,25.8999996185303,1,0,0,0,0,2,58.6666679382324,56.2249984741211,48,68.7779998779297,26.6599998474121,45,0,NA,NA,11,30007,11
"63",63,11117,72,40,32,18,1,2,1,6,3,2,29,65,63,44.6199989318848,57,65,26104,11,31,4,1,32,0,2,65,31,59.189998626709,41.9000015258789,29,71.4800033569336,13.8000001907349,1,0,0,0,0,2,57.4523429870605,43.7562484741211,64,65.0307922363281,28.5873012542725,63,0,NA,NA,31,26104,31
"64",64,11117,72,40,32,18,1,2,1,6,3,2,29,65,63,44.6199989318848,57,65,26104,11,31,4,2,33,0,2,65,33,55.8199996948242,45.5,34,59.5299987792969,41.2000007629395,1,0,0,0,0,2,57.4523429870605,43.7562484741211,64,65.0307922363281,28.5873012542725,63,0,NA,NA,31,26104,31
"65",65,11119,83,39,44,21,2,2,1,3,3,3,16,72,77,35.060001373291,64,77,36111,12,21,4,1,22,0,3,83,18,67.7799987792969,44.4000015258789,18,81.7200012207031,0,1,0,0,1,0,3,64.5643615722656,34.5109100341797,55,71.7972717285156,12.714545249939,55,0,NA,NA,21,36111,21
"66",66,11119,83,39,44,21,2,2,1,3,3,3,16,72,77,35.060001373291,64,77,36111,12,21,4,2,39,0,3,83,37,63,29.7000007629395,37,66.9700012207031,18.8999996185303,1,0,0,1,0,3,64.5643615722656,34.5109100341797,55,71.7972717285156,12.714545249939,55,0,NA,NA,21,36111,21
"67",67,11119,83,39,44,21,2,2,1,3,3,3,16,72,77,35.060001373291,64,77,36111,12,21,4,3,22,0,3,83,22,62.5890922546387,36.4327278137207,22,72.5068206787109,24.2136363983154,NA,1,0,1,0,3,64.5643615722656,34.5109100341797,55,71.7972717285156,12.714545249939,55,1,22,22,21,36111,21
"68",68,11120,107,51,56,19,1,1,1,2,3,3,34,66,100,55.7700004577637,57,104,30007,11,2,4,1,37,0,3,107,35,60.0299987792969,51.4000015258789,35,68.1699981689453,25.7000007629395,1,0,0,0,0,3,57.1809616088867,55.7442321777344,104,65.6505966186523,34,100,0,NA,NA,2,30007,2
"69",69,11120,107,51,56,19,1,1,1,2,3,3,34,66,100,55.7700004577637,57,104,30007,11,2,4,2,36,0,3,107,35,51.7099990844727,71.4000015258789,32,62.3800010681152,43.7999992370605,1,0,0,0,0,3,57.1809616088867,55.7442321777344,104,65.6505966186523,34,100,0,NA,NA,2,30007,2
"70",70,11120,107,51,56,19,1,1,1,2,3,3,34,66,100,55.7700004577637,57,104,30007,11,2,4,3,34,0,3,107,34,59.8800010681152,44.0999984741211,33,66.1500015258789,33.2999992370605,1,0,0,0,0,3,57.1809616088867,55.7442321777344,104,65.6505966186523,34,100,0,NA,NA,2,30007,2
"71",71,11126,45,0,45,11,2,3,1,2,2,2,25,67,44,52.2700004577637,58,44,30007,12,16,4,1,23,0,2,45,22,53.3199996948242,63.5999984741211,22,61.1399993896484,40.9000015258789,1,0,0,0,0,2,58.1349983215332,52.25,44,67.0449981689453,25,44,0,NA,NA,16,30007,16
"72",72,11126,45,0,45,11,2,3,1,2,2,2,25,67,44,52.2700004577637,58,44,30007,12,16,4,2,22,0,2,45,22,62.9500007629395,40.9000015258789,22,72.9499969482422,9.10000038146973,1,0,0,0,0,2,58.1349983215332,52.25,44,67.0449981689453,25,44,0,NA,NA,16,30007,16
"73",73,11127,43,21,22,9,1,1,1,2,2,1,17,71,29,34.4799995422363,61,29,30007,11,6,4,1,31,0,1,31,29,61,34.4799995422363,29,71,17,NA,1,0,1,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,6,30007,6
"74",74,11128,75,39,36,20,2,1,1,2,2,2,7,74,71,16.6700000762939,74,72,30007,12,12,4,2,38,0,1,38,37,77.7600021362305,2.70000004768372,37,75.2200012207031,5.40000009536743,1,0,0,0,0,1,77.7600021362305,2.70000004768372,37,75.2200012207031,5.40000009536743,37,0,NA,NA,12,30007,12
"75",75,11132,95,44,51,29,2,2,1,1,3,3,10,79,87,42.5299987792969,67,87,36046,12,9,4,2,33,0,3,95,32,62.7799987792969,53.0999984741211,32,74.75,15.6000003814697,1,0,0,1,0,3,67.8459320068359,42.3457641601562,59,79.1833343505859,10,60,0,NA,NA,9,36046,9
"76",76,11132,95,44,51,29,2,2,1,1,3,3,10,79,87,42.5299987792969,67,87,36046,12,9,4,3,32,0,3,95,27,73.8499984741211,29.6000003814697,28,84.25,3.59999990463257,1,0,0,1,0,3,67.8459320068359,42.3457641601562,59,79.1833343505859,10,60,0,NA,NA,9,36046,9
"77",77,11132,95,44,51,29,2,2,1,1,3,3,10,79,87,42.5299987792969,67,87,36046,12,9,4,1,30,0,3,95,28,65.2174987792969,42.918212890625,27,78.5925903320312,10,NA,1,0,1,0,3,67.8459320068359,42.3457641601562,59,79.1833343505859,10,60,1,27,28,9,36046,9
"78",78,11133,32,16,16,9,2,1,1,2,1,1,15,77,27,28.5699996948242,81,28,30007,12,7,4,1,32,0,1,32,28,80.5699996948242,28.6000003814697,27,76.9599990844727,14.8000001907349,1,0,0,0,0,1,80.5699996948242,28.6000003814697,28,76.9599990844727,14.8000001907349,27,0,NA,NA,7,30007,7
"79",79,11134,65,37,28,11,1,1,1,1,2,2,20,71,61,61.2900009155273,56,62,30007,11,2,4,1,34,0,2,65,27,58.3699989318848,55.5999984741211,26,70.9599990844727,23.1000003814697,1,0,0,0,0,2,55.7393531799316,61.3016128540039,62,70.5583572387695,19.657377243042,61,0,NA,NA,2,30007,2
